,Episode,Season,Deal,Category,Asked For,Exchange for Stake,Valuation
19,4,1,False,Women's Accessories,150000,25,600000
354,23,5,True,Undergarments and Basics,75000,20,375000
209,13,4,False,Specialty Food,300000,12,2500000
253,24,4,True,Toys and Games,300000,20,1500000
129,8,3,True,Women's Accessories,80000,51,156863
394,4,6,False,Weddings,285000,25,1140000
409,8,6,True,Novelties,150000,10,1500000
323,16,5,True,Mobile Apps,90000,5,1800000
448,18,6,True,Novelties,50000,15,333333
9,2,1,True,Education,250000,10,2500000
195,10,4,False,Men's Accessories,100000,25,400000
444,17,6,False,Home Accessories,250000,10,2500000
99,9,2,True,Women's Accessories,180000,45,400000
192,9,4,False,Online Services,250000,10,2500000
443,17,6,True,Storage and Cleaning Products,110000,15,733333
481,26,6,True,Fitness Apparel and Accessories,100000,10,1000000
111,3,3,True,Personal Care and Cosmetics,55000,20,275000
278,4,5,False,Entertainment,75000,10,750000
321,15,5,True,Baby and Child Care,60000,5,1200000
454,19,6,False,Novelties,250000,5,5000000
127,7,3,True,Personal Care and Cosmetics,200000,20,1000000
309,12,5,True,Holiday Cheer,100000,5,2000000
88,7,2,True,Fitness Apparel and Accessories,50000,25,200000
420,11,6,False,Personal Care and Cosmetics,125000,20,625000
452,19,6,True,Novelties,60000,15,400000
168,3,4,True,Health and Well-Being,100000,15,666667
417,10,6,True,Storage and Cleaning Products,100000,5,2000000
275,4,5,True,Outdoor Recreation,100000,15,666667
254,24,4,False,Entertainment,5000000,34,14705882
245,22,4,True,Outdoor Recreation,80000,20,400000
22,5,1,True,Fitness Equipment,180000,20,900000
431,14,6,False,Baby and Child Care,50000,10,500000
112,4,3,False,Pet Products,50000,25,200000
386,2,6,False,Novelties,75000,15,500000
33,7,1,True,Toys and Games,125000,25,500000
295,9,5,False,Home Security Solutions,700000,10,7000000
44,10,1,True,Online Services,150000,10,1500000
436,15,6,True,Home Accessories,250000,8,3125000
116,5,3,True,Storage and Cleaning Products,40000,20,200000
71,2,2,False,Toys and Games,500000,20,2500000
211,14,4,False,Toys and Games,400000,20,2000000
258,25,4,False,Specialty Food,100000,25,400000
482,26,6,False,Men and Women's Apparel,200000,8,2500000
337,19,5,True,Cycling,150000,10,1500000
65,1,2,True,Baby and Children's Entertainment,30000,5,600000
196,10,4,True,Specialty Food,75000,10,750000
326,16,5,False,Fitness Equipment,2000000,10,20000000
367,27,5,True,Personal Care and Cosmetics,500000,10,5000000
284,6,5,True,Entertainment,2000000,10,20000000
385,2,6,True,Golf Products,150000,15,1000000
28,6,1,True,Specialty Food,50000,10,500000
491,29,6,True,Toys and Games,500000,10,5000000
397,5,6,False,Toys and Games,100000,20,500000
139,10,3,False,Pet Products,100000,51,196078
122,6,3,False,Homeopathic Remedies,35000,20,175000
241,21,4,True,Water Bottles,300000,10,3000000
186,7,4,False,Pet Products,125000,20,625000
350,22,5,False,Specialty Food,500000,10,5000000
194,9,4,True,Costumes,150000,20,750000
3,1,1,False,Consumer Services,250000,25,1000000
489,28,6,True,Education,3000000,10,30000000
61,14,1,False,Gardening,125000,10,1250000
68,2,2,True,Toys and Games,100000,10,1000000
102,1,3,False,Professional Services,200000,10,2000000
67,1,2,False,Specialty Food,200000,25,800000
455,20,6,True,Online Services,40000,15,266667
132,9,3,False,Personal Care and Cosmetics,100000,25,400000
413,9,6,True,Health and Well-Being,350000,5,7000000
359,25,5,False,Wine Accessories,250000,10,2500000
252,24,4,False,Specialty Food,250000,30,833333
238,20,4,False,Specialty Food,225000,25,900000
201,11,4,False,Specialty Food,250000,5,5000000
37,8,1,True,Toys and Games,150000,20,750000
216,15,4,True,Specialty Food,75000,10,750000
172,4,4,False,Productivity Tools,85000,12,708333
285,6,5,True,Professional Services,200000,20,1000000
477,25,6,True,Electronics,500000,5,10000000
379,1,6,False,Electronics,200000,20,1000000
360,25,5,True,Electronics,350000,15,2333333
328,17,5,True,Specialty Food,100000,25,400000
298,9,5,False,Toys and Games,110000,10,1100000
433,14,6,False,Storage and Cleaning Products,75000,15,500000
349,22,5,True,Specialty Food,500000,4,12500000
381,1,6,False,Personal Care and Cosmetics,200000,20,1000000
353,23,5,True,Novelties,225000,15,1500000
269,2,5,False,Specialty Food,75000,20,375000
348,22,5,True,Home Improvement,50000,10,500000
412,9,6,True,Specialty Food,200000,10,2000000
11,3,1,False,Kitchen Tools,100000,10,1000000
220,16,4,True,Automotive,100000,15,666667
87,6,2,False,Maternity,30000,20,150000
12,3,1,True,Baby and Child Care,250000,20,1250000
108,3,3,True,Music,125000,10,1250000
148,13,3,True,Women's Shoes,100000,30,333333
423,12,6,True,Holiday Cheer,50000,10,500000
475,25,6,False,Online Services,350000,10,3500000
163,1,4,True,Novelties,50000,10,500000
24,5,1,False,Novelties,50000,30,166667
416,10,6,True,Outdoor Recreation,100000,33,303030
462,21,6,False,Automotive,200000,15,1333333
457,20,6,True,Electronics,200000,10,2000000
312,13,5,False,Baby and Children's Entertainment,30000,20,150000
58,13,1,True,Novelties,200000,25,800000
340,20,5,False,Water Bottles,100000,20,500000
363,26,5,False,Specialty Food,1000000,10,10000000
302,10,5,True,Women's Accessories,175000,10,1750000
405,7,6,True,Fitness Apparel and Accessories,500000,5,10000000
324,16,5,False,Baby and Children's Food,250000,10,2500000
184,7,4,False,Undergarments and Basics,60000,20,300000
76,4,2,True,Men and Women's Apparel,50000,25,200000
334,18,5,True,Storage and Cleaning Products,200000,10,2000000
