Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey
1,Python Basics,Mon 1/6,1,Introduction,"CIT 1.0, BPD 1-3","https://inferentialthinking.com/chapters/01/what-is-data-science.html, https://notes.dsc10.com/01-getting_started/tools.html","course logistics, syllabus, Little Women demo, Jupyter notebooks, expressions",,,,,
,,Wed 1/8,2,Expressions and Data Types,BPD 3-5,https://notes.dsc10.com/01-getting_started/expressions.html,"variables, assignment, functions, import, methods, int, float, string",,1. Getting Started with Jupyter Notebooks,,,[Welcome Survey](https://forms.gle/nxkC7tC7ezKW5svs6)
,,Fri 1/10,3,Lists and Arrays,"BPD 7-8, CIT 14.1","https://notes.dsc10.com/02-data_sets/arrays.html, https://inferentialthinking.com/chapters/14/1/Properties_of_the_Mean.html#","mean, median, lists, arrays, array arithmetic, array methods, np.arange",,,,,
,,Sat 1/11,,,,,,,,0. Expressions and Data Types,,
2,DataFrames and Visualization,Mon 1/13,4,DataFrames,BPD 9,https://notes.dsc10.com/02-data_sets/accessing.html,"read_csv, .get, .assign, .sort_values, .iloc, .loc, .set_index, US states",,2. Practice Problems,,,
,,Wed 1/15,5,Querying and Grouping,BPD 10-11,https://notes.dsc10.com/02-data_sets/querying.html,"Booleans, querying, .shape, &, |, .take, .groupby, aggregation, .drop",,3. Practice Problems,,,
,,Fri 1/17,6,Data Visualization,CIT 7.0-7.1,https://inferentialthinking.com/chapters/07/Visualization.html,"numerical vs. categorical, scatter plot, line plot, bar chart, exoplanets",,,,,
,,Sat 1/18,,,,,,,,1. Arrays and DataFrames,,
3,Histograms and Functions,Mon 1/20,,No Lecture (Martin Luther King Jr. Day),,,,,,,,
,,Tue 1/21,,,,,,"1. Basic Python, Arrays, and DataFrames",,,,
,,Wed 1/22,7,Distributions and Histograms,CIT 7.2-7.3,https://inferentialthinking.com/chapters/07/2/Visualizing_Numerical_Distributions.html,"distributions, density histograms, binning, total area, overlaid plots",,,,1. Quiz 1 covers Lectures 1-6,
